P(questionable | and) 0.004784688995215311
P(memory | questionable) 1.0
P(. | memory) 0.5
P(had | i) 0.04807692307692308
P(seen | had) 0.021739130434782608
P(little | seen) 0.16666666666666666
P(of | little) 0.15384615384615385
P(holmes | of) 0.009615384615384616
P(lately | holmes) 0.030303030303030304
P(. | lately) 0.5
P(my | .) 0.004338394793926247
P(marriage | my) 0.015873015873015872
P(had | marriage) 0.3333333333333333
P(drifted | had) 0.021739130434782608
P(us | drifted) 1.0
P(away | us) 0.2
P(each | from) 0.027777777777777776
P(other | each) 0.6666666666666666
P(. | other) 0.08333333333333333
P(own | my) 0.09523809523809523
P(complete | own) 0.0625
P(happiness | complete) 1.0
P(, | happiness) 1.0
P(the | and) 0.04784688995215311
P(home | the) 0.002717391304347826
P(centred | home) 0.25
P(which | interests) 1.0
P(rise | which) 0.022727272727272728
P(up | rise) 1.0
P(around | up) 0.034482758620689655
P(the | around) 1.0
P(man | the) 0.019021739130434784
P(who | man) 0.2857142857142857
P(first | who) 0.03571428571428571
P(finds | first) 0.5
P(himself | finds) 1.0
P(master | himself) 0.2
P(establishment | own) 0.0625
P(, | establishment) 1.0
P(were | ,) 0.0020833333333333333
P(sufficient | were) 0.05263157894736842
P(to | sufficient) 1.0
P(absorb | to) 0.005128205128205128
P(all | absorb) 1.0
P(my | all) 0.047619047619047616
P(attention | my) 0.031746031746031744
P(, | attention) 0.3333333333333333
P(holmes | while) 0.125
P(, | holmes) 0.15151515151515152
P(who | ,) 0.020833333333333332
P(loathed | who) 0.03571428571428571
P(every | loathed) 1.0
P(form | every) 0.16666666666666666
P(of | form) 1.0
P(society | of) 0.004807692307692308
P(with | society) 1.0
P(his | with) 0.07017543859649122
P(whole | his) 0.020618556701030927
P(bohemian | whole) 0.25
P(, | soul) 0.2
P(remained | ,) 0.0020833333333333333
P(in | remained) 1.0
P(our | in) 0.007751937984496124
P(lodgings | our) 0.1111111111111111
P(in | lodgings) 1.0
P(baker | in) 0.007751937984496124
P(street | baker) 1.0
P(, | street) 0.4
P(buried | ,) 0.0020833333333333333
P(among | buried) 1.0
P(his | among) 0.5
P(old | his) 0.010309278350515464
P(, | books) 1.0
P(alternating | and) 0.004784688995215311
P(from | alternating) 1.0
P(week | from) 0.027777777777777776
P(to | week) 0.5
P(week | to) 0.005128205128205128
P(between | week) 0.5
P(cocaine | between) 0.3333333333333333
P(and | cocaine) 1.0
P(ambition | and) 0.004784688995215311
P(, | ambition) 1.0
P(drowsiness | the) 0.002717391304347826
P(of | drowsiness) 1.0
P(drug | the) 0.002717391304347826
P(, | drug) 0.5
P(fierce | the) 0.002717391304347826
P(energy | fierce) 0.5
P(of | energy) 1.0
P(keen | own) 0.0625
P(. | nature) 0.25
